日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2018/11/30,-0.0094,0.0643,-0.0403
2018/12/28,-0.0387,-0.0194,-0.0092
2019/1/31,0.0392,-0.0458,0.0017
2019/2/28,0.1252,0.0681,-0.0571
2019/3/29,0.0434,0.0533,-0.0414
2019/4/30,0.0008,-0.0334,-0.0172
2019/5/31,-0.0588,0.0191,-0.0163
2019/6/28,0.0387,-0.042,-0.0125
2019/7/31,-0.0079,-0.018,-0.0047
2019/8/30,-0.018,-0.0199,-0.0672
2019/9/30,0.0033,0.011,0.0016
2019/10/31,0.009,-0.0096,-0.0207
2019/11/29,-0.02,-0.0099,0.0044
2019/12/31,0.056,0.0199,0.0008
2020/1/23,-0.0315,0.0338,-0.0247
2020/2/28,-0.0336,0.0066,-0.0391
2020/3/31,-0.0422,0.0063,-0.0123
2020/4/30,0.038,-0.0139,-0.0374
2020/5/29,-0.003,0.033,-0.0505
2020/6/30,0.0534,0.0156,-0.0804
2020/7/31,0.119,-0.0034,-0.0172
2020/8/31,0.0299,-0.0043,0.0018
2020/9/30,-0.0517,-0.0276,0.0167
2020/10/30,0.0022,-0.0146,0.0077
2020/11/30,0.0513,-0.0094,0.0516
2020/12/31,0.0224,-0.0676,-0.0723
2021/1/29,-0.0033,-0.0847,-0.0312
2021/2/26,0.0102,0.026,0.0373
2021/3/31,-0.0192,0.0563,0.039
2021/4/30,-0.0005,-0.0154,-0.0054
2021/5/31,0.0473,0.007,-0.0168
2021/6/30,-0.0052,0.0157,0.0123
2021/7/30,-0.0536,0.0156,-0.0099
2021/8/31,0.0494,0.01,0.0833
2021/9/30,0.012,-0.0153,0.0532
2021/10/29,-0.0081,-0.0034,-0.0914
2021/11/30,-0.0047,0.1025,-0.0549
2021/12/31,0.0265,0.0122,0.0515
2010/1/29,-0.092,0.0627,-0.0504
2010/2/26,0.0236,0.0455,-0.0162
2010/3/31,0.0239,0.0278,-0.0014
2010/4/30,-0.0785,-0.0018,-0.0529
2010/5/31,-0.0887,0.0007,-0.0459
2010/6/30,-0.0735,-0.0159,0.0169
2010/7/30,0.112,0.0285,-0.0073
2010/8/31,0.0025,0.0572,-0.0666
2010/9/30,0.0088,-0.0065,-0.0323
2010/10/29,0.1186,-0.0391,0.0128
2010/11/30,-0.0572,0.0445,-0.0798
2010/12/31,-0.0114,-0.0056,0.0427
