证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,Alpha_流通市值加权_Alpha_tmv,市场溢酬因子,R方_流通市值加权_R2_tmv,调整R方_流通市值加权_R2adj_tmv,Alpha_总市值加权_Alpha_mc,风险因子_总市值加权_Beta_mc,R方_总市值加权_R2_mc,调整R方_总市值加权_R2adj_mc
O,居民服务、修理和其他服务业,2010/12/31,0.00089881,1.1588,0.490973,0.488852,0.00097594,1.1604,0.496874,0.494778
O,居民服务、修理和其他服务业,2011/12/30,-0.00022278,1.2597,0.655999,0.654577,0.00012487,1.2091,0.584192,0.582474
O,居民服务、修理和其他服务业,2012/12/31,-0.00010126,1.5401,0.730366,0.729247,-0.00035553,1.5195,0.730391,0.729272
O,居民服务、修理和其他服务业,2013/1/4,-0.01181365,0,,,-0.01211677,0,,
O,居民服务、修理和其他服务业,2018/12/28,0.00317326,1.3167,0.174115,0.170585,0.00325729,1.353,0.192531,0.18908
O,居民服务、修理和其他服务业,2019/12/31,-0.00188926,1.2422,0.238024,0.234875,-0.00191783,1.2402,0.247132,0.244021
O,居民服务、修理和其他服务业,2020/12/31,-0.00126647,1.1842,0.24595,0.242821,-0.00130105,1.1783,0.249266,0.246151
O,居民服务、修理和其他服务业,2021/12/31,0.0011078,0.971,0.077173,0.073344,0.00114485,0.9861,0.08078,0.076966
P,,2013/12/31,0.0063823,1.2014,0.090245,0.082967,0.00631509,1.2159,0.095774,0.08854
P,,2014/12/31,0.00154528,0.7211,0.051162,0.047159,0.0014187,0.7991,0.063402,0.05945
P,,2015/12/31,0.00360351,1.2971,0.363902,0.361049,0.0033955,1.3127,0.383634,0.38087
P,,2016/12/30,-0.0000881,1.5072,0.613998,0.612403,0.00013515,1.4824,0.60733,0.605707
P,,2017/12/29,-0.00047569,0.8914,0.231635,0.22846,-0.00025229,0.7356,0.18491,0.181542
P,,2018/12/28,-0.00108334,0.8377,0.317271,0.314438,-0.00138925,0.7898,0.306,0.30312
P,,2019/12/31,0.00045126,0.8592,0.486166,0.484043,0.00158988,0.9976,0.343125,0.340411
P,,2020/12/31,0.00032872,0.7947,0.365275,0.362641,0.00181869,0.7506,0.164116,0.160647
P,,2021/12/31,-0.00458502,1.1005,0.172992,0.16956,-0.00454077,1.2466,0.16558,0.162118
