指数代码_IdxCd,交易日期_TrdDt,收盘价(元/点)_ClPr
000001,2012-09-14,2123.847
000001,2012-09-17,2078.5
000001,2012-09-18,2059.543
000001,2012-09-19,2067.831
000001,2012-09-20,2024.837
000001,2012-09-21,2026.69
000001,2012-09-24,2033.192
000001,2012-09-25,2029.293
000001,2012-09-26,2004.172
000001,2012-09-27,2056.323
000001,2012-09-28,2086.169
000001,2012-10-08,2074.419
000001,2012-10-09,2115.23
000001,2012-10-10,2119.942
000001,2012-10-11,2102.868
000001,2012-10-12,2104.932
000001,2012-10-15,2098.703
000001,2012-10-16,2098.808
000001,2012-10-17,2105.618
000001,2012-10-18,2131.688
000001,2012-10-19,2128.302
000001,2012-10-22,2132.758
000001,2012-10-23,2114.447
000001,2012-10-24,2115.99
000001,2012-10-25,2101.58
000001,2012-10-26,2066.209
000001,2012-10-29,2058.943
000001,2012-10-30,2062.347
000001,2012-10-31,2068.88
000001,2012-11-01,2104.428
000001,2012-11-02,2117.046
000001,2012-11-05,2114.027
000001,2012-11-06,2105.999
000001,2012-11-07,2105.73
000001,2012-11-08,2071.509
000001,2012-11-09,2069.067
000001,2012-11-12,2079.274
000001,2012-11-13,2047.889
000001,2012-11-14,2055.419
000001,2012-11-15,2030.29
000001,2012-11-16,2014.725
000001,2012-11-19,2016.982
000001,2012-11-20,2008.923
000001,2012-11-21,2030.319
000001,2012-11-22,2015.611
000001,2012-11-23,2027.384
000001,2012-11-26,2017.464
000001,2012-11-27,1991.165
000001,2012-11-28,1973.523
000001,2012-11-29,1963.488
000001,2012-11-30,1980.117
000001,2012-12-03,1959.767
000001,2012-12-04,1975.143
000001,2012-12-05,2031.907
000001,2012-12-06,2029.237
000001,2012-12-07,2061.786
000001,2012-12-10,2083.77
000001,2012-12-11,2074.704
000001,2012-12-12,2082.726
000001,2012-12-13,2061.476
000001,2012-12-14,2150.625
000001,2012-12-17,2160.342
000001,2012-12-18,2162.464
000001,2012-12-19,2162.239
000001,2012-12-20,2168.353
000001,2012-12-21,2153.31
000001,2012-12-24,2159.053
000001,2012-12-25,2213.611
000001,2012-12-26,2219.132
000001,2012-12-27,2205.897
000001,2012-12-28,2233.252
000001,2012-12-31,2269.128
000001,2013-01-04,2276.992
000001,2013-01-07,2285.364
000001,2013-01-08,2276.07
000001,2013-01-09,2275.34
000001,2013-01-10,2283.658
000001,2013-01-11,2242.997
000001,2013-01-14,2311.74
000001,2013-01-15,2325.682
000001,2013-01-16,2309.499
000001,2013-01-17,2284.909
000001,2013-01-18,2317.07
000001,2013-01-21,2328.221
000001,2013-01-22,2315.139
000001,2013-01-23,2320.911
000001,2013-01-24,2302.598
000001,2013-01-25,2291.304
000001,2013-01-28,2346.505
000001,2013-01-29,2358.977
000001,2013-01-30,2382.475
000001,2013-01-31,2385.422
000001,2013-02-01,2419.02
000001,2013-02-04,2428.154
000001,2013-02-05,2433.13
000001,2013-02-06,2434.477
000001,2013-02-07,2418.53
000001,2013-02-08,2432.402
000001,2013-02-18,2421.558
000001,2013-02-19,2382.914
000001,2013-02-20,2397.178
000001,2013-02-21,2325.951
000001,2013-02-22,2314.164
000001,2013-02-25,2325.819
000001,2013-02-26,2293.341
000001,2013-02-27,2313.22
000001,2013-02-28,2365.593
000001,2013-03-01,2359.506
000001,2013-03-04,2273.404
000001,2013-03-05,2326.306
000001,2013-03-06,2347.179
000001,2013-03-07,2324.293
000001,2013-03-08,2318.611
000001,2013-03-11,2310.593
000001,2013-03-12,2286.605
000001,2013-03-13,2263.968
000001,2013-03-14,2270.277
000001,2013-03-15,2278.401
000001,2013-03-18,2240.016
000001,2013-03-19,2257.434
000001,2013-03-20,2317.374
000001,2013-03-21,2324.242
000001,2013-03-22,2328.278
000001,2013-03-25,2326.715
000001,2013-03-26,2297.669
000001,2013-03-27,2301.259
000001,2013-03-28,2236.302
000001,2013-03-29,2236.621
000001,2013-04-01,2234.395
000001,2013-04-02,2227.74
000001,2013-04-03,2225.295
000001,2013-04-08,2211.592
000001,2013-04-09,2225.775
000001,2013-04-10,2226.126
000001,2013-04-11,2219.553
000001,2013-04-12,2206.78
000001,2013-04-15,2181.942
000001,2013-04-16,2194.846
000001,2013-04-17,2193.796
000001,2013-04-18,2197.602
000001,2013-04-19,2244.643
000001,2013-04-22,2242.169
000001,2013-04-23,2184.538
000001,2013-04-24,2218.318
000001,2013-04-25,2199.307
000001,2013-04-26,2177.912
000001,2013-05-02,2174.123
000001,2013-05-03,2205.497
000001,2013-05-06,2231.166
000001,2013-05-07,2235.575
000001,2013-05-08,2246.3
000001,2013-05-09,2232.971
000001,2013-05-10,2246.831
000001,2013-05-13,2241.92
000001,2013-05-14,2217.01
000001,2013-05-15,2224.797
000001,2013-05-16,2251.806
000001,2013-05-17,2282.87
000001,2013-05-20,2299.986
000001,2013-05-21,2305.114
000001,2013-05-22,2302.403
000001,2013-05-23,2275.667
000001,2013-05-24,2288.533
000001,2013-05-27,2293.077
000001,2013-05-28,2321.318
000001,2013-05-29,2324.017
000001,2013-05-30,2317.749
000001,2013-05-31,2300.595
000001,2013-06-03,2299.252
000001,2013-06-04,2272.416
000001,2013-06-05,2270.931
000001,2013-06-06,2242.11
000001,2013-06-07,2210.898
000001,2013-06-13,2148.355
000001,2013-06-14,2162.041
000001,2013-06-17,2156.215
000001,2013-06-18,2159.291
000001,2013-06-19,2143.454
000001,2013-06-20,2084.021
000001,2013-06-21,2073.095
000001,2013-06-24,1963.235
000001,2013-06-25,1959.508
000001,2013-06-26,1951.495
000001,2013-06-27,1950.013
000001,2013-06-28,1979.206
000001,2013-07-01,1995.242
000001,2013-07-02,2006.56
000001,2013-07-03,1994.268
000001,2013-07-04,2006.098
000001,2013-07-05,2007.199
000001,2013-07-08,1958.273
000001,2013-07-09,1965.454
000001,2013-07-10,2008.126
000001,2013-07-11,2072.991
000001,2013-07-12,2039.486
000001,2013-07-15,2059.39
000001,2013-07-16,2065.72
000001,2013-07-17,2044.922
000001,2013-07-18,2023.396
000001,2013-07-19,1992.648
000001,2013-07-22,2004.762
000001,2013-07-23,2043.876
000001,2013-07-24,2033.329
000001,2013-07-25,2021.174
000001,2013-07-26,2010.85
000001,2013-07-29,1976.306
000001,2013-07-30,1990.064
000001,2013-07-31,1993.799
000001,2013-08-01,2029.067
000001,2013-08-02,2029.418
000001,2013-08-05,2050.481
000001,2013-08-06,2060.5
000001,2013-08-07,2046.778
000001,2013-08-08,2044.895
000001,2013-08-09,2052.235
000001,2013-08-12,2101.283
000001,2013-08-13,2106.156
000001,2013-08-14,2100.137
000001,2013-08-15,2081.88
000001,2013-08-16,2068.452
000001,2013-08-19,2085.602
000001,2013-08-20,2072.595
000001,2013-08-21,2072.961
000001,2013-08-22,2067.124
000001,2013-08-23,2057.458
000001,2013-08-26,2096.474
000001,2013-08-27,2103.567
000001,2013-08-28,2101.301
000001,2013-08-29,2097.227
000001,2013-08-30,2098.382
000001,2013-09-02,2098.448
000001,2013-09-03,2123.112
000001,2013-09-04,2127.618
000001,2013-09-05,2122.43
000001,2013-09-06,2139.993
000001,2013-09-09,2212.516
000001,2013-09-10,2237.984
000001,2013-09-11,2241.268
000001,2013-09-12,2255.605
000001,2013-09-13,2236.217
000001,2013-09-16,2231.401
000001,2013-09-17,2185.56
000001,2013-09-18,2191.851
000001,2013-09-23,2221.044
000001,2013-09-24,2207.531
000001,2013-09-25,2198.515
000001,2013-09-26,2155.809
000001,2013-09-27,2160.027
000001,2013-09-30,2174.665
000001,2013-10-08,2198.199
000001,2013-10-09,2211.769
000001,2013-10-10,2190.929
000001,2013-10-11,2228.146
000001,2013-10-14,2237.773
000001,2013-10-15,2233.412
000001,2013-10-16,2193.074
000001,2013-10-17,2188.542
000001,2013-10-18,2193.78
000001,2013-10-21,2229.237
000001,2013-10-22,2210.652
000001,2013-10-23,2183.107
000001,2013-10-24,2164.322
000001,2013-10-25,2132.955
000001,2013-10-28,2133.869
